,birth_year,constituency,designation,m_appts,name,office_appts,party,select_appts,salutation,year
37,1960-01-01,Nee Soon GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Dr Lee Bee Wah,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Er,1960.0
38,1976-01-01,Jurong GRC,Minister for Social and Family Development & Second Minister for National Development,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Desmond Lee,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1976.0
39,1952-01-01,Ang Mo Kio GRC,Prime Minister,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Lee Hsien Loong,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1952.0
40,1962-01-01,East Coast GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Lee Yi Shyan,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1962.0
41,1964-01-01,Holland-Bukit Timah GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Liang Eng Hwa,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1964.0
42,1963-01-01,Mountbatten,Deputy Speaker,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Lim Biow Chuan,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1963.0
43,1954-01-01,West Coast GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Lim Hng Kiang,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1954.0
44,1972-01-01,,Nominated Member of Parliament,,Lim Sun Sun,,nan,,Prof,1972.0
45,1954-01-01,East Coast GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Lim Swee Say,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1954.0
46,1965-01-01,Aljunied GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Sylvia Lim,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",Workers' Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Ms,1965.0
47,1968-01-01,Sembawang GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Lim Wee Kiak,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Dr,1968.0
48,1956-01-01,Aljunied GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Low Thia Khiang,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",Workers' Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1956.0
49,1974-01-01,Chua Chu Kang GRC,"Senior Parliamentary Secretary, Ministry of Education & Ministry of Manpower","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Low Yen Ling,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Ms,1974.0
50,1963-01-01,Tampines GRC,Minister for the Environment and Water Resources & Minister-in-charge of Muslim Affairs,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Masagos Zulkifli Bin Masagos Mohamad,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1963.0
51,1965-01-01,East Coast GRC,"Senior Minister of State, Ministry of Defence & Ministry of Foreign Affairs","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Mohamad Maliki Bin Osman,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Dr,1965.0
52,1989-01-01,,Nominated Member of Parliament,,Mohamed Irshad,,nan,,Mr,1989.0
53,1975-01-01,Aljunied GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Muhamad Faisal Bin Abdul Manap,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",Workers' Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1975.0
54,1968-01-01,Nee Soon GRC,"Senior Parliamentary Secretary, Ministry of Social and Family Development & Ministry of Education","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Dr Muhammad Faishal Ibrahim,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Assoc Prof,1968.0
55,1967-01-01,Bukit Batok,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Murali Pillai,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1967.0
56,1953-01-01,Jalan Besar GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Lily Neo,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Dr,1953.0
57,1968-01-01,Pasir Ris-Punggol GRC,"Minister, Prime Minister's Office","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Ng Chee Meng,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1968.0
58,1958-01-01,Bishan-Toa Payoh GRC,Minister for Defence,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Ng Eng Hen,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Dr,1958.0
59,1978-01-01,Nee Soon GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Louis Ng Kok Kwang,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1978.0
60,1968-01-01,,Nominated Member of Parliament,,Anthea Ong,,nan,,Ms,1968.0
61,1977-01-01,Marsiling-Yew Tee GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Ong Teng Koon,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1977.0
62,1969-01-01,Sembawang GRC,Minister for Education,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Ong Ye Kung,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1969.0
63,1967-01-01,Tanjong Pagar GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Joan Pereira,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Ms,1967.0
64,,,Non-Constituency Member of Parliament,,Leon Perera,,Workers' Party,,Mr,
65,1959-01-01,Jalan Besar GRC,"Mayor, Central Singapore District","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Denise Phua Lay Peng,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Ms,1959.0
66,1961-01-01,Hougang,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Png Eng Huat,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",Workers' Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1961.0
67,1976-01-01,Aljunied GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Pritam Singh,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",Workers' Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1976.0
68,1975-01-01,,Nominated Member of Parliament,,Irene Quay Siew Ching,,nan,,Ms,1975.0
69,1980-01-01,Jurong GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Rahayu Mahzam,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Ms,1980.0
70,1973-01-01,Bishan-Toa Payoh GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Saktiandi Supaat,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1973.0
71,1961-01-01,Marine Parade GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Seah Kian Peng,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1961.0
72,1959-01-01,Nee Soon GRC,Minister for Home Affairs & Minister for Law,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",K Shanmugam,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1959.0
73,1975-01-01,Holland-Bukit Timah GRC,"Senior Minister of State, Ministry of Communications and Information & Ministry of Culture, Community and Youth","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Sim Ann,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Ms,1975.0
74,1963-01-01,Potong Pasir,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Sitoh Yih Pin,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1963.0
