,Name,Party,GE,Constituency,Margin,election_type,election_year
568,"GOSAIN, Gopal Krishnan",Liberal Socialist Party,CC 1957,Stamford,46.1%,CC,1957
569,GOVINDASAMY Gopal,Independent,CC 1957,Bukit Merah,38.6%,CC,1957
570,"GOVINDASAMY, N. Naidu",People's Action Party,GE 1968,Telok Blangah,Uncontested,GE,1968
571,"GOVINDASAMY, N. Naidu",People's Action Party,GE 1972,Telok Blangah,57.9%,GE,1972
572,"GOVINDASAMY, N. Naidu",People's Action Party,GE 1976,Radin Mas,75.7%,GE,1976
573,GOVINDASWAMY Perumal,People's Action Party,GE 1963,Anson,46.9%,GE,1963
574,GOVINDASWAMY Perumal,People's Action Party,GE 1968,Anson,Uncontested,GE,1968
575,GOVINDASWAMY Perumal,People's Action Party,GE 1972,Anson,74.3%,GE,1972
576,GOVINDASWAMY Perumal,People's Action Party,GE 1976,Anson,Uncontested,GE,1976
577,GUOK Sing Inn,Independent,CC 1953,Rochore,32.3%,CC,1953
578,GURMIT Singh Sadhu Singh,Workers' Party,GE 2015,Nee Soon GRC,33.2%,GE,2015
579,HALIMAH binte Yacob,People's Action Party,GE 2001,Jurong GRC,79.8%,GE,2001
580,HALIMAH binte Yacob,People's Action Party,GE 2006,Jurong GRC,Uncontested,GE,2006
581,HALIMAH binte Yacob,People's Action Party,GE 2011,Jurong GRC,67.0%,GE,2011
582,HALIMAH binte Yacob,People's Action Party,GE 2015,Marsiling-Yew Tee GRC,68.7%,GE,2015
583,HALIMAH binte Yacob,Presidential Office,PE 2017,Presidential Office,Uncontested,PE,2017
584,"HAMID, K. Mohd S.",Progressive Party,GE 1955,Pasir Panjang,30.2%,GE,1955
585,"HAMID, S. A.",United National Front,GE 1972,Alexandra,6.2%,GE,1972
586,HAN Hui Hui,Independent,GE 2015,Radin Mas,10.0%,GE,2015
587,"HAN Su May, Glenda",Workers' Party,GE 2006,Ang Mo Kio GRC,33.9%,GE,2006
588,"HAN Su May, Glenda",Workers' Party,GE 2011,East Coast GRC,45.2%,GE,2011
589,HARBANS Singh,United People's Party,GE 1963,Kampong Glam,12.7%,GE,1963
590,HARBANS Singh,Barisan Sosialis,GE 1972,Havelock,27.3%,GE,1972
591,HARBANS Singh,United People's Front,GE 1976,Tanjong Pagar,11.0%,GE,1976
592,HARBANS Singh,United People's Front,BE 1979,Sembawang,21.6%,BE,1979
593,HARBANS Singh,United People's Front,GE 1980,Sembawang,18.4%,GE,1980
594,BE 1981Anson1.0%,United People's Front,GE 1984,Kebun Baru,24.2%,GE,1984
595,BE 1981Anson1.0%,United People's Front,GE 1988,Sembawang GRC,29.9%,GE,1988
596,HARMINDER PAL SinghGurcharan Singh,Singapore Democratic Alliance,GE 2011,Pasir Ris-Punggol GRC,35.2%,GE,2011
597,HARMINDER PAL SinghGurcharan Singh,Singapore Democratic Alliance,GE 2015,Pasir Ris-Punggol GRC,27.1%,GE,2015
598,HARNEK Singh,United National Front,GE 1972,Potong Pasir,4.9%,GE,1972
599,HARUN bin Abdul Ghani,People's Action Party,GE 1991,Hong Kah GRC,Uncontested,GE,1991
600,HARUN bin Abdul Ghani,People's Action Party,GE 1997,Hong Kah GRC,69.0%,GE,1997
601,HARUN bin Mohamed Amin,Partai Rakyat,GE 1959,Geylang Serai,2.8%,GE,1959
602,HASHIM bin Mukayat,United People's Front,GE 1976,Buona Vista,17.3%,GE,1976
603,HASHIM bin Yadi,Workers' Party,GE 1972,Kampong Chai Chee,18.2%,GE,1972
604,HAWAZI bin Daipi,People's Action Party,GE 1997,Sembawang GRC,Uncontested,GE,1997
605,HAWAZI bin Daipi,People's Action Party,GE 2001,Sembawang GRC,Uncontested,GE,2001
606,HAWAZI bin Daipi,People's Action Party,GE 2006,Sembawang GRC,76.7%,GE,2006
607,HAWAZI bin Daipi,People's Action Party,GE 2011,Sembawang GRC,63.9%,GE,2011
608,HE Tingru,Workers' Party,GE 2015,Marine Parade GRC,35.9%,GE,2015
609,HENG Chee How,People's Action Party,GE 1997,Hougang,42.0%,GE,1997
610,HENG Chee How,People's Action Party,GE 2001,Jalan Besar GRC,74.5%,GE,2001
611,HENG Chee How,People's Action Party,GE 2006,Jalan Besar GRC,69.3%,GE,2006
612,HENG Chee How,People's Action Party,GE 2011,Whampoa,66.1%,GE,2011
613,HENG Chee How,People's Action Party,GE 2015,Jalan Besar GRC,67.7%,GE,2015
614,HENG Chiang Meng,People's Action Party,GE 1984,Jalan Kayu,51.2%,GE,1984
615,HENG Chiang Meng,People's Action Party,GE 1988,Cheng San GRC,Uncontested,GE,1988
616,HENG Chiang Meng,People's Action Party,GE 1991,Cheng San GRC,64.1%,GE,1991
617,HENG Chiang Meng,People's Action Party,GE 1997,Cheng San GRC,54.8%,GE,1997
618,HENG Swee Keat,People's Action Party,GE 2011,Tampines GRC,57.2%,GE,2011
619,HENG Swee Keat,People's Action Party,GE 2015,Tampines GRC,72.1%,GE,2015
620,HENG Swee Tong,Workers' Party,GE 1972,Kim Seng,32.3%,GE,1972
621,HO Cheng Choon,People's Action Party,GE 1963,Geylang East,47.2%,GE,1963
622,HO Cheng Choon,People's Action Party,GE 1968,Geylang East,Uncontested,GE,1968
623,HO Cheng Choon,People's Action Party,GE 1972,Geylang East,64.2%,GE,1972
624,HO Cheng Choon,People's Action Party,GE 1976,Geylang East,68.5%,GE,1976
625,"HO Geok Choo, Madeleine",People's Action Party,GE 2001,West Coast GRC,Uncontested,GE,2001
626,"HO Geok Choo, Madeleine",People's Action Party,GE 2006,West Coast GRC,Uncontested,GE,2006
627,HO Juan Thai,Workers' Party,GE 1976,Bukit Panjang,32.6%,GE,1976
628,HO Kah Leong[21 Sep 1937 - ],People's Action Party,BE 1966,Jurong,Uncontested,BE,1966
629,HO Kah Leong[21 Sep 1937 - ],People's Action Party,GE 1968,Jurong,Uncontested,GE,1968
630,HO Kah Leong[21 Sep 1937 - ],People's Action Party,GE 1972,Jurong,76.4%,GE,1972
631,HO Kah Leong[21 Sep 1937 - ],People's Action Party,GE 1976,Jurong,Uncontested,GE,1976
632,HO Kah Leong[21 Sep 1937 - ],People's Action Party,GE 1980,Jurong,Uncontested,GE,1980
633,HO Kah Leong[21 Sep 1937 - ],People's Action Party,GE 1984,Jurong,Uncontested,GE,1984
634,HO Kah Leong[21 Sep 1937 - ],People's Action Party,GE 1988,Jurong,75.2%,GE,1988
635,HO Kah Leong[21 Sep 1937 - ],People's Action Party,GE 1991,Jurong,64.3%,GE,1991
636,HO Kok Hoe,Labour Front,CC 1957,River Valley,52.0%,CC,1957
637,HO Peng Kee,People's Action Party,GE 1991,Sembawang GRC,Uncontested,GE,1991
638,HO Peng Kee,People's Action Party,GE 1997,Sembawang GRC,Uncontested,GE,1997
639,HO Peng Kee,People's Action Party,GE 2001,Nee Soon East,73.7%,GE,2001
640,HO Peng Kee,People's Action Party,GE 2006,Nee Soon East,68.7%,GE,2006
641,HO See Beng[5 Feb 1918 - 5 Dec 2008],People's Action Party,GE 1963,Bras Basah,51.8%,GE,1963
642,HO See Beng[5 Feb 1918 - 5 Dec 2008],People's Action Party,GE 1968,Bras Basah,Uncontested,GE,1968
643,HO See Beng[5 Feb 1918 - 5 Dec 2008],People's Action Party,GE 1972,Bras Basah,Uncontested,GE,1972
644,HO See Beng[5 Feb 1918 - 5 Dec 2008],People's Action Party,GE 1976,Khe Bong,74.3%,GE,1976
645,HO See Beng[5 Feb 1918 - 5 Dec 2008],People's Action Party,GE 1980,Khe Bong,72.4%,GE,1980
646,HO S. F.,Progressive Party,GE 1955,Bukit Timah,11.6%,GE,1955
647,HO Soak Harn,Reform Party,GE 2011,West Coast GRC,33.4%,GE,2011
648,HO Soo Hock,United National Front,GE 1972,Sepoy Lines,18.7%,GE,1972
649,HO Tat Kin,People's Action Party,GE 1984,Boon Teck,56.2%,GE,1984
650,HO Tat Kin,People's Action Party,GE 1988,Toa Payoh GRC,Uncontested,GE,1988
651,HO Tat Kin,People's Action Party,GE 1991,Toa Payoh GRC,Uncontested,GE,1991
652,HO Tat Kin,People's Action Party,GE 1997,Bishan-Toa Payoh GRC,Uncontested,GE,1997
653,HOE Boon Teck,Workers' Party,GE 1976,Henderson,25.2%,GE,1976
654,HOE Puay Choo,People's Action Party,CC 1957,Kampong Glam,60.9%,CC,1957
655,HOE Puay Choo,People's Action Party,GE 1959,Bras Basah,63.3%,GE,1959
656,"HOLLOWAY, Edward Henry",Liberal Socialist Party,GE 1959,Aljunied,43.4%,GE,1959
657,HON Sui Sen (Benedict)[16 Apr 1916 - 14 Oct 1983],People's Action Party,BE 1970,Havelock,Uncontested,BE,1970
658,HON Sui Sen (Benedict)[16 Apr 1916 - 14 Oct 1983],People's Action Party,GE 1972,Havelock,72.7%,GE,1972
659,HON Sui Sen (Benedict)[16 Apr 1916 - 14 Oct 1983],People's Action Party,GE 1976,Havelock,79.3%,GE,1976
660,HON Sui Sen (Benedict)[16 Apr 1916 - 14 Oct 1983],People's Action Party,GE 1980,Havelock,Uncontested,GE,1980
661,HONG Hai,People's Action Party,GE 1988,Bedok GRC,54.9%,GE,1988
662,HOOI Beng Guan,Liberal Socialist Party,GE 1959,Stamford,6.2%,GE,1959
663,HOW Kang Yong,People's Action Party,GE 1963,Nee Soon,34.8%,GE,1963
664,HOWE Yoon Chong[1923 - 21 Aug 2007],People's Action Party,BE 1979,Potong Pasir,66.8%,BE,1979
665,HOWE Yoon Chong[1923 - 21 Aug 2007],People's Action Party,GE 1980,Potong Pasir,59.0%,GE,1980
666,HRI KUMAR Sangaran Nair,People's Action Party,GE 2006,Bishan-Toa Payoh GRC,Uncontested,GE,2006
667,HRI KUMAR Sangaran Nair,People's Action Party,GE 2011,Bishan-Toa Payoh GRC,56.9%,GE,2011
668,HSIEH Shao An (Robert),Singapore Alliance,GE 1963,Crawford,5.5%,GE,1963
669,HU Tsu Tau (Richard)[20 Oct 1926 - ],People's Action Party,GE 1984,Kreta Ayer,83.2%,GE,1984
670,HU Tsu Tau (Richard)[20 Oct 1926 - ],People's Action Party,GE 1988,Kreta Ayer,70.5%,GE,1988
671,HU Tsu Tau (Richard)[20 Oct 1926 - ],People's Action Party,GE 1991,Kreta Ayer,Uncontested,GE,1991
672,HU Tsu Tau (Richard)[20 Oct 1926 - ],People's Action Party,GE 1997,Kreta Ayer-Tanglin GRC,Uncontested,GE,1997
673,HUANG Seow Kwang,Workers' Party,GE 1997,Cheng San GRC,45.2%,GE,1997
674,"HUSSAIN, Syed Mumtaz",Labour Party,MC Apr 1949,City,15.5%,MC Apr,1949
675,"HUSSAIN, Syed Mumtaz",Independent,CC 1952,City,35.6%,CC,1952
676,"HUSSAIN, Syed Mumtaz",Independent,CC 1953,Rochore,32.8%,CC,1953
677,HWANG Ban Cheong,United Front,GE 1976,Bukit Ho Swee,26.5%,GE,1976
678,HWANG Cheng Peng,Liberal Socialist Party,CC 1957,Bras Basah,35.3%,CC,1957
679,HWANG Soo Jin,People's Action Party,GE 1968,Jalan Kayu,82.3%,GE,1968
680,HWANG Soo Jin,People's Action Party,GE 1972,Jalan Kayu,59.4%,GE,1972
681,HWANG Soo Jin,People's Action Party,GE 1976,Jalan Kayu,61.6%,GE,1976
682,HWANG Soo Jin,People's Action Party,GE 1980,Jalan Kayu,69.0%,GE,1980
683,IBRAHIM bin Ariff,Pertubuhan Kebangsaan Melayu Singapura,GE 1980,Kaki Bukit,20.2%,GE,1980
684,IBRAHIM bin Ariff,Pertubuhan Kebangsaan Melayu Singapura,GE 1988,Bukit Panjang,11.9%,GE,1988
685,IBRAHIM bin Jaffar,United People's Party,GE 1963,Kampong Kembangan,6.2%,GE,1963
686,IBRAHIM bin Othman,United Malays National Organisation,CC 1957,Ulu Pandan,49.1%,CC,1957
687,IBRAHIM bin Othman,People's Action Party,GE 1959,Tanglin,30.1%,GE,1959
688,IBRAHIM bin Othman,People's Action Party,GE 1984,Tanah Merah,68.1%,GE,1984
689,IBRAHIM bin Othman,People's Action Party,GE 1988,Bedok GRC,45.9%,GE,1988
690,IBRAHIM bin Othman,People's Action Party,GE 1991,Thomson GRC,Uncontested,GE,1991
691,IBRAHIM bin Othman,People's Action Party,GE 1997,Bishan-Toa Payoh GRC,Uncontested,GE,1997
692,INDERJIT Singh,People's Action Party,GE 1997,Ang Mo Kio GRC,Uncontested,GE,1997
693,INDERJIT Singh,People's Action Party,GE 2001,Ang Mo Kio GRC,Uncontested,GE,2001
694,INDERJIT Singh,People's Action Party,GE 2006,Ang Mo Kio GRC,66.1%,GE,2006
695,INDERJIT Singh,People's Action Party,GE 2011,Ang Mo Kio GRC,69.3%,GE,2011
696,INDRANEE Thurai Rajah,People's Action Party,GE 2001,Tanjong Pagar GRC,Uncontested,GE,2001
697,INDRANEE Thurai Rajah,People's Action Party,GE 2006,Tanjong Pagar GRC,Uncontested,GE,2006
698,INDRANEE Thurai Rajah,People's Action Party,GE 2011,Tanjong Pagar GRC,Uncontested,GE,2011
699,INDRANEE Thurai Rajah,People's Action Party,GE 2015,Tanjong Pagar GRC,77.7%,GE,2015
700,INTAN AZURA binte Mokhtar,People's Action Party,GE 2011,Ang Mo Kio GRC,69.3%,GE,2011
701,INTAN AZURA binte Mokhtar,People's Action Party,GE 2015,Ang Mo Kio GRC,78.6%,GE,2015
702,"ISAAC, Arthur K.",Singapore Alliance,GE 1963,Anson,6.4%,GE,1963
703,ISHAK bin Haroun,Singapore Democratic Alliance,GE 2006,Pasir Ris-Punggol GRC,31.3%,GE,2006
704,ISMAIL bin Mohd Yaacob,Workers' Party,GE 1988,Brickworks GRC,32.6%,GE,1988
705,"ISWARAN, S.",People's Action Party,GE 1997,West Coast GRC,70.1%,GE,1997
706,"ISWARAN, S.",People's Action Party,GE 2001,West Coast GRC,Uncontested,GE,2001
707,"ISWARAN, S.",People's Action Party,GE 2006,West Coast GRC,Uncontested,GE,2006
708,"ISWARAN, S.",People's Action Party,GE 2011,West Coast GRC,66.6%,GE,2011
709,"ISWARAN, S.",People's Action Party,GE 2015,West Coast GRC,78.6%,GE,2015
710,"JABBAR, Mohamed Kassim Abdul",People's Action Party,GE 1980,Radin Mas,64.1%,GE,1980
711,JAFFAR bin Abdul Ghani,Malay Union,GE 1959,Kampong Kembangan,1.9%,GE,1959
712,JAGANATHAN Saminathan,Independent,CC 1952,South,43.2%,CC,1952
713,JAGANATHAN Saminathan,Independent,GE 1959,Kampong Kapor,6.4%,GE,1959
714,JAGATHEESAN Kalimuthu,Independent,MC Dec 1949,City,55.7%,MC Dec,1949
715,JAGATHEESAN Kalimuthu,Independent,GE 1951,Balestier,19.5%,GE,1951
716,JAMAL bin Idris,Pertubuhan Kebangsaan Melayu Singapura,GE 1980,Kampong Kembangan,21.3%,GE,1980
717,"JAMES, Frank Caulfield",Progressive Party,MC Apr 1949,East,24.7%,MC Apr,1949
718,"JAMES, Frank Caulfield",Progressive Party,MC 1950,East,70.6%,MC,1950
719,"JAMNADAS, Jiwanbhai Mehta",Independent,MC 1950,City,36.4%,MC,1950
720,JANTAN bin Taib,United People's Front,GE 1980,Kebun Baru,5.7%,GE,1980
721,JAYAKUMAR Shunmugam[12 Aug 1939 - ],People's Action Party,GE 1980,Bedok,75.0%,GE,1980
722,JAYAKUMAR Shunmugam[12 Aug 1939 - ],People's Action Party,GE 1984,Bedok,68.9%,GE,1984
723,JAYAKUMAR Shunmugam[12 Aug 1939 - ],People's Action Party,GE 1988,Bedok GRC,54.9%,GE,1988
724,JAYAKUMAR Shunmugam[12 Aug 1939 - ],People's Action Party,GE 1991,Bedok GRC,62.0%,GE,1991
725,JAYAKUMAR Shunmugam[12 Aug 1939 - ],People's Action Party,GE 1997,East Coast GRC,Uncontested,GE,1997
726,JAYAKUMAR Shunmugam[12 Aug 1939 - ],People's Action Party,GE 2001,East Coast GRC,Uncontested,GE,2001
727,JAYAKUMAR Shunmugam[12 Aug 1939 - ],People's Action Party,GE 2006,East Coast GRC,63.9%,GE,2006
728,JEISILAN Sivalingam,National Solidarity Party,GE 2011,Chua Chu Kang GRC,38.8%,GE,2011
729,JEK Yeun Thong[1930 - ],People's Action Party,BE 1961,Hong Lim,26.7%,BE,1961
730,JEK Yeun Thong[1930 - ],People's Action Party,GE 1963,Queenstown,52.9%,GE,1963
731,JEK Yeun Thong[1930 - ],People's Action Party,GE 1968,Queenstown,Uncontested,GE,1968
732,JEK Yeun Thong[1930 - ],People's Action Party,GE 1972,Queenstown,81.2%,GE,1972
733,JEK Yeun Thong[1930 - ],People's Action Party,GE 1976,Queenstown,Uncontested,GE,1976
734,JEK Yeun Thong[1930 - ],People's Action Party,GE 1980,Queenstown,Uncontested,GE,1980
735,JEK Yeun Thong[1930 - ],People's Action Party,GE 1984,Queenstown,Uncontested,GE,1984
736,"JEYARETNAM, Joshua Benjamin[5 Jan 1926 - 30 Sep 2008]",Workers' Party,GE 1972,Farrer Park,23.1%,GE,1972
737,"JEYARETNAM, Joshua Benjamin[5 Jan 1926 - 30 Sep 2008]",Workers' Party,GE 1976,Kampong Chai Chee,40.1%,GE,1976
738,"JEYARETNAM, Joshua Benjamin[5 Jan 1926 - 30 Sep 2008]",Workers' Party,BE 1977,Radin Mas,29.4%,BE,1977
739,"JEYARETNAM, Joshua Benjamin[5 Jan 1926 - 30 Sep 2008]",Workers' Party,BE 1979,Telok Blangah,38.8%,BE,1979
740,"JEYARETNAM, Joshua Benjamin[5 Jan 1926 - 30 Sep 2008]",Workers' Party,GE 1980,Telok Blangah,47.0%,GE,1980
741,BE 1981Anson51.9%,Workers' Party,GE 1984,Anson,56.8%,GE,1984
742,BE 1981Anson51.9%,Workers' Party,GE 1997,Cheng San GRC,45.2%,GE,1997
743,"JEYARETNAM, Kenneth Andrew",Reform Party,GE 2011,West Coast GRC,33.4%,GE,2011
744,"JEYARETNAM, Kenneth Andrew",Reform Party,BE 2013,Punggol East,1.2%,BE,2013
745,"JEYARETNAM, Kenneth Andrew",Reform Party,GE 2015,West Coast GRC,21.4%,GE,2015
746,"JIVABHAI, Hassan Ali",Independent,MC Apr 1949,City,19.5%,MC Apr,1949
747,"JIVABHAI, Hassan Ali",Progressive Party,MC Dec 1949,City,35.0%,MC Dec,1949
748,"JIVABHAI, Hassan Ali",Independent,CC 1951,City,56.5%,CC,1951
749,JOHARI bin Sonto,Partai Rakyat,GE 1963,Ulu Pandan,26.6%,GE,1963
750,"JOHNSON, Patrick Joseph",Labour Party,MC Apr 1949,North,20.1%,MC Apr,1949
751,"JOSEPH, Arthur",Independent,GE 1959,Farrer Park,1.6%,GE,1959
752,"JOSEPH, T. T.",Independent,GE 1968,Moulmein,9.4%,GE,1968
753,"JOSEPH, Varghese",Singapore Justice Party,GE 1976,Boon Lay,20.2%,GE,1976
754,JUKRI bin Parjo,Barisan Sosialis,GE 1963,Telok Blangah,34.8%,GE,1963
755,"JUMABHOY, Jumabhoy Mohamed[? - 14 Jul 2012]",Independent,MC 1950,City,37.6%,MC,1950
756,"JUMABHOY, Jumabhoy Mohamed[? - 14 Jul 2012]",Independent,CC 1953,City,Uncontested,CC,1953
757,"JUMABHOY, Jumabhoy Mohamed[? - 14 Jul 2012]",Labour Front,GE 1955,Stamford,43.1%,GE,1955
758,"JUMABHOY, Jumabhoy Mohamed[? - 14 Jul 2012]",Singapore People's Alliance,GE 1959,Stamford,34.9%,GE,1959
759,"JUMABHOY, Rajabali[16 Jan 1898 - 26 Nov 1998]",Independent,GE 1955,Telok Ayer,39.9%,GE,1955
760,KAMARUDDIN bin Hassan,United National Front,GE 1972,Kampong Kembangan,10.0%,GE,1972
761,"KANAGASABAI,Govindapillai Maruthamuthoo",Labour Party,MC Apr 1949,Rochore,12.9%,MC Apr,1949
762,"KANAGASABAI,Govindapillai Maruthamuthoo",Independent,CC 1958,Kallang,0.9%,CC,1958
763,KANDASAMY Govindasamy[23 May 1921 - 20 Mar 1999],People's Action Party,GE 1959,Kampong Kapor,54.3%,GE,1959
764,KANG Meng Kim,People's Action Party,CC 1957,Sepoy Lines,49.8%,CC,1957
765,KARUPPIAH Nalliah,Independent,CC 1957,Farrer Park,29.8%,CC,1957
766,KARUPPIAH Nalliah,Progressive Party,GE 1963,Kampong Kapor,10.5%,GE,1963
767,KARTHIGESU Mootatamby,Liberal Socialist Party,GE 1959,Ulu Pandan,2.9%,GE,1959
768,KASIM bin Ibrahim,United People's Front,GE 1980,Tampines,14.1%,GE,1980
769,KASIM bin Ibrahim,United People's Front,GE 1984,Tampines,27.7%,GE,1984
770,KASIM bin Ibrahim,United People's Front,GE 1988,Sembawang GRC,29.9%,GE,1988
771,"KEE Chin Wah, Patrick",National Solidarity Party,GE 1997,Hong Kah GRC,31.0%,GE,1997
772,KENG Ban Ee (Barney),Labour Front,BE 1957,Cairnhill,19.2%,BE,1957
773,KER Sin Tze,People's Action Party,GE 1991,Aljunied GRC,Uncontested,GE,1991
774,KER Sin Tze,People's Action Party,GE 1997,Aljunied GRC,67.0%,GE,1997
775,KHALAFF ALBASWARYSheikh Mohsin,Independent,GE 1959,Ulu Pandan,11.1%,GE,1959
776,KHAW Boon Wan,People's Action Party,GE 2001,Tanjong Pagar GRC,Uncontested,GE,2001
777,KHAW Boon Wan,People's Action Party,GE 2006,Sembawang GRC,76.7%,GE,2006
778,KHAW Boon Wan,People's Action Party,GE 2011,Sembawang GRC,63.9%,GE,2011
779,KHAW Boon Wan,People's Action Party,GE 2015,Sembawang GRC,72.3%,GE,2015
780,KHEW Pee Ging,Labour Front,GE 1955,Seletar,16.3%,GE,1955
781,KHO Jiak Hiong,Workers' Party,GE 1972,Bukit Merah,15.7%,GE,1972
782,KHOO Siaw Hua,Liberal Socialist Party,CC 1957,Toa Payoh,37.1%,CC,1957
783,"KHOR Lean Suan, Amy",People's Action Party,GE 2001,Hong Kah GRC,79.7%,GE,2001
784,"KHOR Lean Suan, Amy",People's Action Party,GE 2006,Hong Kah GRC,Uncontested,GE,2006
785,"KHOR Lean Suan, Amy",People's Action Party,GE 2011,Hong Kah North,70.6%,GE,2011
786,"KHOR Lean Suan, Amy",People's Action Party,GE 2015,Hong Kah North,74.8%,GE,2015
787,KHUNG Wai Yeen (Gerous),Singapore Democratic Party,GE 2015,Bukit Panjang,31.6%,GE,2015
788,KOH Chiat Lim,Singapore Alliance,GE 1963,Moulmein,5.4%,GE,1963
789,KOH Chit Kiang,Barisan Sosialis,GE 1963,Punggol,28.9%,GE,1963
790,KOH Choon Hong,Independent,BE 1957,Tanjong Pagar,12.8%,BE,1957
791,KOH Choon Hong,Singapore People's Alliance,GE 1959,Joo Chiat,45.9%,GE,1959
792,KOH Choong Yong,Workers' Party,GE 2011,Sengkang West,41.9%,GE,2011
793,KOH Choong Yong,Workers' Party,GE 2015,Sengkang West,37.9%,GE,2015
794,KOH Lam Son,People's Action Party,GE 1984,Telok Blangah,55.0%,GE,1984
795,KOH Lam Son,People's Action Party,GE 1988,Telok Blangah,64.2%,GE,1988
796,KOH Lip Lin[1935 - 13 Feb 2015],People's Action Party,BE 1979,Nee Soon,Uncontested,BE,1979
797,KOH Lip Lin[1935 - 13 Feb 2015],People's Action Party,GE 1980,Nee Soon,Uncontested,GE,1980
798,KOH Lip Lin[1935 - 13 Feb 2015],People's Action Party,GE 1984,Nee Soon,74.2%,GE,1984
799,KOH Lip Lin[1935 - 13 Feb 2015],People's Action Party,GE 1988,Nee Soon South,64.9%,GE,1988
800,KOH Lip Lin[1935 - 13 Feb 2015],People's Action Party,GE 1991,Nee Soon South,52.8%,GE,1991
801,KOH Poh Koon,People's Action Party,BE 2013,Punggol East,43.7%,BE,2013
802,KOH Poh Koon,People's Action Party,GE 2015,Ang Mo Kio GRC,78.6%,GE,2015
803,KOH Tee Kin,Independent,GE 1959,Siglap,26.6%,GE,1959
804,KOH Tee Kin,Independent,GE 1963,Siglap,1.5%,GE,1963
805,KOH Tiong Yee (Luke),Workers' Party,GE 2015,Nee Soon GRC,33.2%,GE,2015
806,KOO Tsai Kee,People's Action Party,GE 1991,Tanjong Pagar GRC,Uncontested,GE,1991
807,KOO Tsai Kee,People's Action Party,GE 1997,Tanjong Pagar GRC,Uncontested,GE,1997
808,KOO Tsai Kee,People's Action Party,GE 2001,Tanjong Pagar GRC,Uncontested,GE,2001
809,KOO Tsai Kee,People's Action Party,GE 2006,Tanjong Pagar GRC,Uncontested,GE,2006
810,KOO Young,Barisan Sosialis,GE 1963,Thomson,49.2%,GE,1963
811,KOW Kee Seng,Barisan Sosialis,GE 1963,Paya Lebar,48.0%,GE,1963
812,KOW Kee Seng,Independent,GE 1972,Paya Lebar,8.6%,GE,1972
813,KRISHANAN Pakirisamy,Independent,GE 1959,Anson,1.4%,GE,1959
814,"KRISHNAN, P. V.",Independent,MC Apr 1949,North,15.3%,MC Apr,1949
815,"KRISHNAN, P. V.",Labour Front,GE 1955,Pasir Panjang,16.6%,GE,1955
816,"KULASINGHA, Hollupatherage James Caldera[1900 - 8 Dec 1982]",Progressive Party,GE 1951,Bukit Timah,57.1%,GE,1951
817,"KULASINGHA, Hollupatherage James Caldera[1900 - 8 Dec 1982]",Progressive Party,GE 1955,Southern Islands,49.4%,GE,1955
818,"KULASINGHA, Hollupatherage James Caldera[1900 - 8 Dec 1982]",Independent,GE 1959,Pasir Panjang,31.9%,GE,1959
819,KUM Teng Hock,People's Action Party,CC 1957,Geylang East,54.0%,CC,1957
820,KUM Teng Hock,People's Action Party,GE 1959,Southern Islands,25.3%,GE,1959
821,KUM Teng Hock,United People's Party,GE 1963,Geylang West,10.7%,GE,1963
822,KUM Teng Hock,Workers' Party,GE 1972,Geylang East,32.8%,GE,1972
823,KUM Teng Hock,Workers' Party,GE 1976,Geylang East,31.5%,GE,1976
824,KUM Teng Hock,National Solidarity Party,GE 1988,MacPherson,34.0%,GE,1988
825,"KUNJURAMAN, Paul C.",United National Front,GE 1972,Anson,6.6%,GE,1972
826,KWAN Yue Keng,Singapore Democratic Party,GE 1988,Bukit Batok,44.1%,GE,1988
827,KWAN Yue Keng,Singapore Democratic Party,GE 1991,Bukit Batok,48.2%,GE,1991
828,KWAN Yue Keng,Singapore Democratic Party,GE 1997,Aljunied GRC,33.0%,GE,1997
829,KWEK Guan Kwee,Singapore Democratic Party,GE 1988,Bukit Panjang,30.9%,GE,1988
830,KWEK Guan Kwee,Independent,GE 1991,Chua Chu Kang,24.0%,GE,1991
831,KWEK Hian Chuan (Henry),People's Action Party,GE 2015,Nee Soon GRC,66.8%,GE,2015
832,KWEK Sam Hock,Singapore People's Alliance,GE 1959,Geylang West,32.4%,GE,1959
833,LAI Tha Chai,People's Action Party,GE 1972,Henderson,74.4%,GE,1972
834,LAI Tha Chai,People's Action Party,GE 1976,Henderson,74.8%,GE,1976
835,LAI Tha Chai,People's Action Party,GE 1980,Henderson,77.4%,GE,1980
836,LAI Tha Chai,People's Action Party,GE 1984,Henderson,58.8%,GE,1984
837,LAL BEHARI Singh,Singapore Alliance,GE 1963,Stamford,5.4%,GE,1963
838,LAM Chit Lee,Barisan Sosialis,GE 1963,Telok Ayer,40.7%,GE,1963
839,LAM Chock Chuan,Liberal Socialist Party,CC 1957,Kampong Glam,20.3%,CC,1957
840,LAM Hock Chye,Labour Front,CC 1957,Moulmein,43.0%,CC,1957
841,LAM Joon Chong,Democratic Party,GE 1955,Geylang,18.3%,GE,1955
842,LAM Pin Min,People's Action Party,GE 2006,Ang Mo Kio GRC,66.1%,GE,2006
843,LAM Pin Min,People's Action Party,GE 2011,Sengkang West,58.1%,GE,2011
844,LAM Pin Min,People's Action Party,GE 2015,Sengkang West,62.1%,GE,2015
845,LAM Thian,Democratic Party,GE 1955,Tanjong Pagar,9.9%,GE,1955
846,LAU Liat Meng,Independent,CC 1957,Kallang,7.7%,CC,1957
